Category,Filename,Max Frequency (Hz),Max Amplitude
Unripe,12,650,67.52407816
Unripe,12,673.3333333,118.1010758
Unripe,12,676.6666667,70.15072373
Unripe,12,646.6666667,56.22071719
Unripe,12,863.3333333,41.41069967
Unripe,12,276.6666667,41.26654522
Unripe,12,856.6666667,93.17993982
Unripe,12,856.6666667,93.15610874
Unripe,12,856.6666667,93.12727041
Unripe,13,153.3333333,94.10413978
Unripe,13,153.3333333,94.36944548
Unripe,13,153.3333333,76.3226444
Unripe,13,153.3333333,76.52697257
Unripe,13,343.3333333,89.12120222
Unripe,13,343.3333333,84.25662595
Unripe,13,153.3333333,92.92423848
Unripe,14,110,127.2001986
Unripe,14,113.3333333,139.1177735
Unripe,14,113.3333333,115.6539554
Unripe,14,113.3333333,115.760741
Unripe,14,96.66666667,91.60195822
Unripe,14,86.66666667,43.59606032
Unripe,15,470,60.23857317
Unripe,15,693.3333333,70.98303806
Unripe,15,60,72.63265131
Unripe,15,60,72.83194917
Unripe,15,60,72.90850307
Unripe,15,63.33333333,48.61489301
Unripe,15,66.66666667,40.03763227
Unripe,15,373.3333333,48.87768911
Unripe,15,770,51.49475572
Unripe,15,693.3333333,65.49666231
Unripe,15,693.3333333,65.41501306
Unripe,15,693.3333333,65.39892023
Unripe,15,693.3333333,70.90622778
Unripe,15,693.3333333,70.93998782
Unripe,15,693.3333333,70.95865625
Unripe,16,316.6666667,42.74287374
Unripe,16,326.6666667,24.82714393
Unripe,16,60,59.33756029
Unripe,16,60,71.062581
Unripe,16,53.33333333,77.11093804
Unripe,16,620,87.5914989
Unripe,16,620,87.58035728
Unripe,17,350,35.13133791
Unripe,17,350,35.06801074
Unripe,17,490,74.17285508
Unripe,17,493.3333333,54.62950645
Unripe,17,66.66666667,21.29234717
Unripe,17,746.6666667,46.25186358
Unripe,17,746.6666667,46.26725395
Unripe,17,746.6666667,46.25754805
Unripe,17,590,29.79258186
Unripe,18,616.6666667,44.91820872
Unripe,18,1220,46.00091384
Unripe,18,1270,23.21189234
Unripe,18,56.66666667,26.34044485
Unripe,18,56.66666667,32.70471325
Unripe,18,56.66666667,32.63286249
Unripe,18,80,16.47153597
Unripe,18,626.6666667,21.14781935
Unripe,18,946.6666667,43.3097973
Unripe,18,946.6666667,43.32312846
Unripe,18,946.6666667,43.30450685
Unripe,18,630,65.88005695
Unripe,18,134.8314607,10.00237911
Unripe,18,630,65.86493558
Unripe,18,630,65.85717721
Unripe,18,56.66666667,54.75912477
Unripe,18,56.66666667,54.74742496
Unripe,18,1220,46.06894275
Unripe,18,1220,46.00845946
Unripe,18,1220,45.98968359
Unripe,19,76.66666667,90.80531336
Unripe,19,60,158.9556097
Unripe,19,73.33333333,202.3943122
Unripe,19,73.33333333,202.4558563
Unripe,19,703.3333333,100.0687476
Unripe,19,703.3333333,99.91799694
Unripe,19,703.3333333,99.79628729
Unripe,19,76.66666667,90.5588817
Unripe,19,56.66666667,31.35367406
Unripe,19,983.3333333,33.6520838
Unripe,19,773.3333333,53.88313902
Unripe,19,60,157.4577104
Unripe,19,60,158.2619389
Unripe,19,60,158.9843344
Unripe,19,60,158.9577913
Unripe,20,1060,39.69927641
Unripe,20,86.66666667,68.14682202
Unripe,20,56.66666667,77.11223418
Unripe,20,56.66666667,77.11088685
Unripe,20,56.66666667,56.49311059
Unripe,20,56.66666667,56.46104861
