Category,File Number,Average Frequency (Hz),Max Amplitude
Unripe,12,3705.598467,67.52407816
Unripe,12,3238.501198,118.1010758
Unripe,12,3848.489551,70.15072373
Unripe,12,4928.338473,56.22071719
Unripe,12,4823.537137,41.41069967
Unripe,12,5075.790762,41.26654522
Unripe,12,4199.996624,93.17993982
Unripe,12,4198.49224,93.15610874
Unripe,12,4197.541755,93.12727041
Unripe,13,4746.833859,94.10413978
Unripe,13,4730.388844,94.36944548
Unripe,13,4688.491716,76.3226444
Unripe,13,4720.093647,76.52697257
Unripe,13,4024.010903,89.12120222
Unripe,13,4020.864246,84.25662595
Unripe,13,4623.106505,92.92423848
Unripe,14,4956.588318,127.2001986
Unripe,14,5425.350418,139.1177735
Unripe,14,3924.806064,115.6539554
Unripe,14,3925.367823,115.760741
Unripe,14,6406.45979,91.60195822
Unripe,14,7540.521191,43.59606032
Unripe,15,5322.868651,60.23857317
Unripe,15,4693.706692,70.98303806
Unripe,15,5380.227693,72.63265131
Unripe,15,5421.530306,72.83194917
Unripe,15,5388.914743,72.90850307
Unripe,15,5791.084614,48.61489301
Unripe,15,6121.255972,40.03763227
Unripe,15,4390.058325,48.87768911
Unripe,15,4035.359154,51.49475572
Unripe,15,4602.922131,65.49666231
Unripe,15,4617.713808,65.41501306
Unripe,15,4612.460829,65.39892023
Unripe,15,4692.50112,70.90622778
Unripe,15,4689.131709,70.93998782
Unripe,15,4689.488815,70.95865625
Unripe,16,5829.620849,42.74287374
Unripe,16,6455.008246,24.82714393
Unripe,16,4683.576422,59.33756029
Unripe,16,5657.001481,71.062581
Unripe,16,5472.669465,77.11093804
Unripe,16,4439.095277,87.5914989
Unripe,16,4430.295441,87.58035728
Unripe,17,5168.755525,35.13133791
Unripe,17,5179.039182,35.06801074
Unripe,17,4659.762022,74.17285508
Unripe,17,4034.829518,54.62950645
Unripe,17,5729.050159,21.29234717
Unripe,17,4405.961265,46.25186358
Unripe,17,4402.725568,46.26725395
Unripe,17,4426.621249,46.25754805
Unripe,17,5270.228222,29.79258186
Unripe,18,4396.163495,44.91820872
Unripe,18,5297.116612,46.00091384
Unripe,18,3799.609397,23.21189234
Unripe,18,4298.285515,26.34044485
Unripe,18,5134.229224,32.70471325
Unripe,18,5137.620088,32.63286249
Unripe,18,6357.635203,16.47153597
Unripe,18,5616.666296,21.14781935
Unripe,18,3637.227461,43.3097973
Unripe,18,3639.571246,43.32312846
Unripe,18,3641.600131,43.30450685
Unripe,18,3679.643658,65.88005695
Unripe,18,4457.281721,10.00237911
Unripe,18,3679.726391,65.86493558
Unripe,18,3680.203075,65.85717721
Unripe,18,3164.318612,54.75912477
Unripe,18,3160.547742,54.74742496
Unripe,18,5303.564287,46.06894275
Unripe,18,5301.126841,46.00845946
Unripe,18,5295.52258,45.98968359
Unripe,19,5341.686674,90.80531336
Unripe,19,3710.017169,158.9556097
Unripe,19,3737.257076,202.3943122
Unripe,19,3732.678988,202.4558563
Unripe,19,3265.696369,100.0687476
Unripe,19,3260.995194,99.91799694
Unripe,19,3256.558336,99.79628729
Unripe,19,5335.357054,90.5588817
Unripe,19,7612.743008,31.35367406
Unripe,19,6841.234424,33.6520838
Unripe,19,3990.907233,53.88313902
Unripe,19,3742.681503,157.4577104
Unripe,19,3733.176862,158.2619389
Unripe,19,3712.388536,158.9843344
Unripe,19,3708.935739,158.9577913
Unripe,20,3420.489295,39.69927641
Unripe,20,4764.463617,68.14682202
Unripe,20,4291.971202,77.11223418
Unripe,20,4291.792432,77.11088685
Unripe,20,6125.085469,56.49311059
Unripe,20,6120.054381,56.46104861
Unripe,20,3265.219486,94.28632134
Unripe,20,4023.382444,210.7205476
Ripe,21,2659.805182,133.5047861
Ripe,21,3406.750541,78.16339909
Ripe,21,3319.347384,71.11253472
Ripe,21,3321.175014,71.02365615
Ripe,21,4017.115333,66.44869462
Ripe,21,4010.712991,66.4580613
Ripe,21,4012.034132,66.49706047
Ripe,21,3186.753837,184.4564494
Ripe,21,3169.62345,185.4190031
Ripe,21,3177.783476,185.2092232
Ripe,21,3193.96693,184.810594
Ripe,21,2651.561288,133.5093328
Ripe,21,3308.080045,212.2320048
Ripe,21,5058.796312,25.04198139
Ripe,21,5950.895475,49.65191006
Ripe,21,5948.28787,49.59277577
Ripe,21,3942.835793,56.71772852
Ripe,21,3942.490917,56.71378114
Ripe,21,3942.027595,56.76728721
Ripe,21,3948.662389,56.67679425
Ripe,21,2838.918334,138.5914225
Ripe,21,2838.575704,138.8718743
Ripe,21,2773.915419,257.9623247
Ripe,21,2769.290041,257.8743612
Ripe,21,2812.437507,259.5893343
Ripe,21,5941.221214,26.2850234
Ripe,21,3394.73633,78.01659171
Ripe,22,5789.530669,74.36164092
Ripe,22,4475.739294,73.38600873
Ripe,22,4474.083211,73.37280405
Ripe,22,4257.680791,97.02275863
Ripe,22,4266.675117,97.23059372
Ripe,22,4264.529946,97.07282826
Ripe,22,4258.899715,96.97419549
Ripe,22,4264.616945,96.9135374
Ripe,22,4255.301952,96.96850555
Ripe,22,4254.920851,96.9688869
Ripe,22,4255.486621,96.94019997
Ripe,22,5791.338819,74.49345448
Ripe,22,4473.8885,40.29668662
Ripe,22,4482.460479,40.28359099
Ripe,22,5786.892411,74.49037267
Ripe,22,4473.373747,73.64055353
Ripe,22,4474.672882,73.52778904
Ripe,22,4473.41842,73.53591833
Ripe,22,4474.233692,73.55029806
Ripe,22,4473.258969,73.5618083
Ripe,22,4472.903141,73.41817877
Ripe,23,3045.534738,76.52101513
Ripe,23,4566.025324,43.70080412
Ripe,23,5869.557747,55.24278805
Ripe,23,4585.449552,96.44807328
Ripe,23,4571.400147,96.21069823
Ripe,23,5475.16867,38.08979669
Ripe,23,5448.120249,38.04611109
Ripe,23,4560.679455,57.09434783
Ripe,23,4560.531885,57.13791935
Ripe,23,5400.74399,44.74340345
Ripe,23,3951.783805,58.44779631
Ripe,23,5274.132585,69.17942673
Ripe,23,3956.847822,58.53813503
Ripe,23,4485.586366,56.16452777
Ripe,23,4484.565716,56.11716068
Ripe,23,2917.242455,77.52129233
Ripe,23,5672.390369,29.54011394
Ripe,23,5688.912802,23.80888442
Ripe,23,5691.321958,23.24676531
Ripe,23,5173.972077,42.31062999
Ripe,23,5173.981807,42.43871967
Ripe,23,5169.854706,42.73099193
Ripe,24,3213.022875,94.5673335
Ripe,24,4041.191156,70.22002076
Ripe,24,3945.76898,90.10474698
Ripe,24,3947.781289,90.12645022
Ripe,24,3945.925928,90.13170124
Ripe,24,3945.853365,90.12278442
Ripe,24,3945.689258,90.12196864
Ripe,24,3542.889215,91.87109927
Ripe,24,3542.664113,91.88297759
Ripe,24,2566.895701,80.39039491
Ripe,24,2566.439157,80.31114017
Ripe,24,3222.164053,94.5498458
Ripe,24,2571.936157,80.18179786
Ripe,24,3083.905286,87.87301706
Ripe,24,3080.381475,87.63914221
Ripe,24,3082.348872,87.71255527
Ripe,24,3085.340174,87.69597372
Ripe,24,3080.529079,87.6834115
Ripe,24,3630.610587,37.54269884
Ripe,24,3517.539741,132.0283486
Ripe,24,3518.204207,132.0282455
Ripe,24,3524.094527,132.0235409
Ripe,24,3217.650156,94.5260802
Ripe,24,3520.549742,132.0247253
Ripe,24,3523.463035,132.6238462
Ripe,24,3524.373346,132.6840191
Ripe,24,4406.211128,122.9256581
Ripe,24,4405.603252,122.8306336
Ripe,24,4406.314593,122.9190275
Ripe,24,4407.535735,122.7149474
Ripe,24,4412.614923,122.7436037
Ripe,24,4406.874246,122.7363016
Ripe,24,4403.917895,122.716668
Ripe,24,3214.299848,94.04794302
Ripe,24,4406.889906,122.7223016
Ripe,24,3211.597501,94.06124413
Ripe,24,3435.841571,70.26496893
Ripe,24,4044.484972,70.20450784
Ripe,24,4041.043624,70.21761808
Ripe,24,4042.371051,70.21878774
Ripe,25,4096.774995,54.46779855
Ripe,25,2821.061633,79.48788459
Ripe,25,2822.969303,79.14645741
Ripe,25,3859.714829,135.500969
Ripe,25,3856.950234,135.7337004
Ripe,25,3857.216105,135.7329314
Ripe,25,2804.216767,64.70988668
