Category,Filename,Average_frequency,Max Amplitude,AZ-P Ratio,Hue_mean,Saturation_mean,Value_mean,Hue_std,Saturation_std,Value_std,Image,Ripeness
MidRipe,1,229.047619,87.11942276,1.19346049,6.509180663,16.21210844,30.29593241,14.02893087,36.22779898,65.62865896,1.png,midripe
MidRipe,2,723.030303,41.80601623,1.28526149,9.09642205,30.53149118,50.98947685,15.78325343,48.01765307,78.8233367,2.png,midripe
MidRipe,3,711.5686275,89.76610573,1.172037915,8.378648687,27.56740313,42.89422672,13.86705542,47.56843763,73.31703042,3.png,midripe
MidRipe,4,704.8717949,57.57567113,1.254712421,10.68388162,32.80720251,62.40684858,14.65843229,47.85221914,86.53710791,4.png,midripe
MidRipe,5,407.5,33.90634469,1.238334858,4.314369996,18.18326812,35.31611583,8.933227082,38.38051232,73.2332393,5.png,midripe
MidRipe,6,242.7777778,44.98853489,1.256804214,5.050468565,18.16183653,38.6227841,10.5281309,36.30721729,75.34405797,6.png,midripe
MidRipe,7,710.7246377,54.34799929,1.25947809,8.907992696,46.83059017,34.71935063,13.68478351,75.3911946,56.69859323,7.png,midripe
MidRipe,8,807.5757576,69.5721283,1.320687911,10.4203279,25.5815865,57.230538,15.1499229,39.32032554,80.79976545,8.png,midripe
MidRipe,9,708.9583333,61.17419969,1.213072568,10.02122288,27.03939157,51.11874862,15.14606875,44.04211532,79.47886086,9.png,midripe
MidRipe,10,864.7222222,56.54697435,1.265665458,13.57326671,29.29750567,56.73388317,18.99789546,45.01201174,81.00970261,10.png,midripe
Ripe,21,579.8765432,116.5628885,1.505697233,13.56888981,43.96920041,75.28311206,15.65628008,54.08334096,87.62219751,21.png,ripe
Ripe,22,524.2857143,79.42907669,1.391983968,13.00920986,56.74570227,71.97938689,14.89501739,68.63010675,86.39835261,22.png,ripe
Ripe,23,289.0909091,53.78542733,1.286716172,16.72206323,64.85224603,100.1987184,13.52143157,57.30532055,85.94546702,23.png,ripe
Ripe,24,306,98.74980193,1.16067824,22.49324971,32.6443418,70.33973607,42.20039221,43.56647945,75.89310698,24.png,ripe
Ripe,25,462.4242424,84.55748348,1.330834583,21.35760744,35.11743069,70.20837653,38.15320787,46.35266587,76.60097588,25.png,ripe
Ripe,26,361,75.9682959,1.295789474,20.24513991,28.8814526,60.01867188,36.83682861,43.75488978,74.10971266,26.png,ripe
Ripe,27,331.3888889,81.07108244,1.349295775,16.57461746,29.54885707,56.43448433,33.64641533,46.73463726,73.45111908,27.png,ripe
Ripe,28,216.4444444,111.86322,1.357142857,14.80681714,39.75635704,67.66157676,29.27523843,52.61528559,76.26769593,28.png,ripe
Unripe,12,706.2962963,74.90412875,1.21160043,5.519659663,40.19447354,29.36169205,10.47965903,78.10740191,58.97095614,12.png,unripe
Unripe,13,207.6190476,86.80360984,1.227956989,9.822339836,57.64855004,38.61990883,13.71053337,81.9280285,55.83384552,13.png,unripe
Unripe,14,105.5555556,105.4884479,1.196322068,5.092083559,31.20877732,26.04716553,10.37849695,65.4441325,56.10033045,14.png,unripe
Unripe,15,451.7777778,63.18234349,1.284210526,8.309517789,33.02276403,44.62563362,12.94189399,55.34762209,72.87793309,15.png,unripe
Unripe,16,293.8095238,64.32185045,1.17752809,18.00680033,132.7715227,94.60445243,12.69490512,97.869822,75.97233027,16.png,unripe
Unripe,17,508.8888889,43.20703386,1.141972122,13.22244548,80.26534076,69.64854047,13.88817821,88.73965739,79.32304126,17.png,unripe
Unripe,18,631.0749064,41.42720039,1.350510204,12.01867188,78.06373253,62.97298682,12.83828813,89.11048778,75.42350018,18.png,unripe
Unripe,19,301.5555556,119.8335785,1.383561644,10.91652291,75.35022674,47.88491881,12.93353408,92.99063613,62.60433392,19.png,unripe
Unripe,20,187.9166667,85.00378095,1.297266515,9.810111231,62.5006304,45.38911948,12.85981211,86.39349466,65.34356905,20.png,unripe
