Category,Filename,Average_frequency,Max Amplitude,AZ-P Ratio,Hue_mean,Saturation_mean,Value_mean,Hue_std,Saturation_std,Value_std,Image,Ripeness
MidRipe,1,229.047619,87.11942276,1.19346049,33.10175662,84.83264984,165.8022544,14.02893087,36.22779898,65.62865896,1.png,midripe
MidRipe,2,723.030303,41.80601623,1.28526149,27.86629625,95.9578507,166.3507779,15.78325343,48.01765307,78.8233367,2.png,midripe
MidRipe,3,711.5686275,89.76610573,1.172037915,29.13143095,99.83052638,159.3036719,13.86705542,47.56843763,73.31703042,3.png,midripe
MidRipe,4,704.8717949,57.57567113,1.254712421,32.77922503,89.08176851,189.1057604,14.65843229,47.85221914,86.53710791,4.png,midripe
MidRipe,5,407.5,33.90634469,1.238334858,21.2368173,89.73464898,184.4443886,8.933227082,38.38051232,73.2332393,5.png,midripe
MidRipe,6,242.7777778,44.98853489,1.256804214,22.43921226,81.64375427,182.6833308,10.5281309,36.30721729,75.34405797,6.png,midripe
MidRipe,7,710.7246377,54.34799929,1.25947809,28.8966046,160.3011797,119.7003674,13.68478351,75.3911946,56.69859323,7.png,midripe
MidRipe,8,807.5757576,69.5721283,1.320687911,28.45487369,72.41397706,165.2141692,15.1499229,39.32032554,80.79976545,8.png,midripe
MidRipe,9,708.9583333,61.17419969,1.213072568,31.14480346,86.56205105,169.005182,15.14606875,44.04211532,79.47886086,9.png,midripe
MidRipe,10,864.7222222,56.54697435,1.265665458,37.45599458,82.24467973,165.4236815,18.99789546,45.01201174,81.00970261,10.png,midripe
Ripe,21,579.8765432,116.5628885,1.505697233,24.83406905,187.6413632,141.0552461,15.65628008,54.08334096,87.62219751,21.png,ripe
Ripe,22,524.2857143,79.42907669,1.391983968,34.57672689,169.598849,106.6743708,14.89501739,68.63010675,86.39835261,22.png,ripe
Ripe,23,289.0909091,53.78542733,1.286716172,25.74278478,164.4621999,138.1705687,13.52143157,57.30532055,85.94546702,23.png,ripe
Ripe,24,306.0,98.74980193,1.16067824,27.18933773,113.3055125,154.1394734,42.20039221,43.56647945,75.89310698,24.png,ripe
Ripe,25,462.4242424,84.55748348,1.330834583,26.46000208,198.9733898,144.8679778,38.15320787,46.35266587,76.60097588,25.png,ripe
Ripe,26,361.0,75.9682959,1.295789474,27.32462133,170.3589863,150.2523893,36.83682861,43.75488978,74.10971266,26.png,ripe
Ripe,27,331.3888889,81.07108244,1.349295775,25.04431984,168.655872,138.5376213,33.64641533,46.73463726,73.45111908,27.png,ripe
Ripe,28,216.4444444,111.86322,1.357142857,25.61164356,182.6951545,118.6337849,29.27523843,52.61528559,76.26769593,28.png,ripe
Unripe,12,706.2962963,74.90412875,1.21160043,26.03108228,172.4646319,127.167367,10.47965903,78.10740191,58.97095614,12.png,unripe
Unripe,13,207.6190476,86.80360984,1.227956989,30.15027287,98.63387293,173.6412478,13.71053337,81.9280285,55.83384552,13.png,unripe
Unripe,14,105.5555556,105.4884479,1.196322068,29.57631085,131.4960584,170.537767,10.37849695,65.4441325,56.10033045,14.png,unripe
Unripe,15,451.7777778,63.18234349,1.284210526,26.68318494,106.7849669,166.9269606,12.94189399,55.34762209,72.87793309,15.png,unripe
Unripe,16,293.8095238,64.32185045,1.17752809,40.32450063,63.94654407,139.4839807,12.69490512,97.869822,75.97233027,16.png,unripe
Unripe,17,508.8888889,43.20703386,1.141972122,38.98677473,69.76349018,142.181902,13.88817821,88.73965739,79.32304126,17.png,unripe
Unripe,18,631.0749064,41.42720039,1.350510204,41.88296358,66.41430024,138.9495286,12.83828813,89.11048778,75.42350018,18.png,unripe
Unripe,19,301.5555556,119.8335785,1.383561644,37.10036375,72.40991942,140.0067299,12.93353408,92.99063613,62.60433392,19.png,unripe
Unripe,20,187.9166667,85.00378095,1.297266515,27.93304362,82.52992944,141.9372384,12.85981211,86.39349466,65.34356905,20.png,unripe
